"astro-ph/0410281","Max Tegmark","Max Tegmark","What does inflation really predict?","Replaced to match accepted JCAP version. Improved discussion,
  references. 42 pages, 17 figs","JCAP 0504:001,2005","10.1088/1475-7516/2005/04/001",,"astro-ph gr-qc hep-th",,"  If the inflaton potential has multiple minima, as may be expected in, e.g.,
the string theory ""landscape"", inflation predicts a probability distribution
for the cosmological parameters describing spatial curvature (Omega_tot), dark
energy (rho_Lambda, w, etc.), the primordial density fluctuations (Omega_tot,
dark energy (rho_Lambda, w, etc.). We compute this multivariate probability
distribution for various classes of single-field slow-roll models, exploring
its dependence on the characteristic inflationary energy scales, the shape of
the potential V and and the choice of measure underlying the calculation. We
find that unless the characteristic scale Delta-phi on which V varies happens
to be near the Planck scale, the only aspect of V that matters observationally
is the statistical distribution of its peaks and troughs. For all energy scales
and plausible measures considered, we obtain the predictions Omega_tot ~
1+-0.00001, w=-1 and rho_Lambda in the observed ballpark but uncomfortably
high. The high energy limit predicts n_s ~ 0.96, dn_s/dlnk ~ -0.0006, r ~ 0.15
and n_t ~ -0.02, consistent with observational data and indistinguishable from
eternal phi^2-inflation. The low-energy limit predicts 5 parameters but prefers
larger Q and redder n_s than observed. We discuss the coolness problem, the
smoothness problem and the pothole paradox, which severely limit the viable
class of models and measures. Our findings bode well for detecting an
inflationary gravitational wave signature with future CMB polarization
experiments, with the arguably best-motivated single-field models favoring the
detectable level r ~ 0.03. (Abridged)
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 19:41:44 GMT""},{""version"":""v2"",""created"":""Fri, 11 Mar 2005 21:00:28 GMT""}]","2009-10-07"
"quant-ph/0410087","Joseph V. Emerson","Joseph Emerson","Random Quantum Circuits and Pseudo-Random Operators: Theory and
  Applications","This paper is a synopsis of Emerson et al., Science 302: 2098 (Dec
  19, 2003) and some related unpublished work; it is based on a talk given at
  QCMC04; 4 pages, 1 figure, aipproc.sty","Science 302, 2098 (2003)","10.1126/science.1090790",,"quant-ph",,"  Pseudo-random operators consist of sets of operators that exhibit many of the
important statistical features of uniformly distributed random operators. Such
pseudo-random sets of operators are most useful whey they may be parameterized
and generated on a quantum processor in a way that requires exponentially fewer
resources than direct implementation of the uniformly random set. Efficient
pseudo-random operators can overcome the exponential cost of random operators
required for quantum communication tasks such as super-dense coding of quantum
states and approximately secure quantum data-hiding, and enable efficient
stochastic methods for noise estimation on prototype quantum processors. This
paper summarizes some recently published work demonstrating a random circuit
method for the implementation of pseudo-random unitary operators on a quantum
processor [Emerson et al., Science 302:2098 (Dec.~19, 2003)], and further
elaborates the theory and applications of pseudo-random states and operators.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 19:58:10 GMT""}]","2009-11-10"
"quant-ph/0410091","Andreas Winter","Berry Groisman, Sandu Popescu, Andreas Winter","On the quantum, classical and total amount of correlations in a quantum
  state","12 pages ReVTeX4, 2 eps figures. v2 has some arguments clarified and
  references updated","Phys Rev A, vol 72, 032317 (2005).","10.1103/PhysRevA.72.032317",,"quant-ph",,"  We give an operational definition of the quantum, classical and total amount
of correlations in a bipartite quantum state. We argue that these quantities
can be defined via the amount of work (noise) that is required to erase
(destroy) the correlations: for the total correlation, we have to erase
completely, for the quantum correlation one has to erase until a separable
state is obtained, and the classical correlation is the maximal correlation
left after erasing the quantum correlations.
  In particular, we show that the total amount of correlations is equal to the
quantum mutual information, thus providing it with a direct operational
interpretation for the first time. As a byproduct, we obtain a direct,
operational and elementary proof of strong subadditivity of quantum entropy.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 17:14:21 GMT""},{""version"":""v2"",""created"":""Tue, 1 Feb 2005 18:04:37 GMT""}]","2007-05-23"
"quant-ph/0410092","Alex Kuzmich","D. N. Matsukevich, A. Kuzmich","Quantum State Transfer Between Matter and Light","14 pages, 4 figures, to be published in Science","Science 306, 663 (2004)","10.1126/science.1103346",,"quant-ph",,"  We report on the coherent quantum state transfer from a two-level atomic
system to a single photon. Entanglement between a single photon (signal) and a
two-component ensemble of cold rubidium atoms is used to project the quantum
memory element (the atomic ensemble) onto any desired state by measuring the
signal in a suitable basis. The atomic qubit is read out by stimulating
directional emission of a single photon (idler) from the (entangled) collective
state of the ensemble. Faithful atomic memory preparation and read-out are
verified by the observed correlations between the signal and the idler photons.
These results enable implementation of distributed quantum networking.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 20:06:26 GMT""}]","2009-11-10"
"quant-ph/0410093","Hagai Eisenberg","H. S. Eisenberg, J. F. Hodelin, G. Khoury, D. Bouwmeester","Multiphoton path entanglement by non-local bunching","4 pages, 5 figures, published version","Phys. Rev. Lett., Vol 94, 090502 (11 March 2005)","10.1103/PhysRevLett.94.090502",,"quant-ph",,"  Multiphoton path entanglement is created without applying post-selection, by
manipulating the state of stimulated parametric down-conversion. A specific
measurement on one of the two output spatial modes leads to the non-local
bunching of the photons of the other mode, forming the desired multiphoton path
entangled state. We present experimental results for the case of a heralded
two-photon path entangled state and show how to extend this scheme to higher
photon numbers.
","[{""version"":""v1"",""created"":""Tue, 12 Oct 2004 23:34:07 GMT""},{""version"":""v2"",""created"":""Tue, 3 Jan 2006 08:05:47 GMT""}]","2007-05-23"
"quant-ph/0410094","Deepak Rao","Deepak Sethu Rao, Thomas Szkopek, Hans Daniel Robinson, Eli
  Yablonovitch and Hong-Wen Jiang","Single photo-electron trapping, storage, and detection in a one-electron
  quantum dot","4 Pages, 5 Figures","J. Appl. Phys. 98, 114507 (2005)","10.1063/1.2134888",,"quant-ph",,"  There has been considerable progress in electro-statically emptying, and
re-filling, quantum dots with individual electrons. Typically the quantum dot
is defined by electrostatic gates on a GaAs/AlGaAs modulation doped
heterostructure. We report the filling of such a quantum dot by a single
photo-electron, originating from an individual photon. The electrostatic dot
can be emptied and reset in a controlled fashion before the arrival of each
photon. The trapped photo-electron is detected by a point contact transistor
integrated adjacent to the electrostatic potential trap. Each stored
photo-electron causes a persistent negative step in the transistor channel
current. Such a controllable, benign, single photo-electron detector could
allow for information transfer between flying photon qubits and stored electron
qubits.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 06:20:49 GMT""},{""version"":""v2"",""created"":""Wed, 15 Dec 2004 23:17:07 GMT""}]","2015-06-26"
"quant-ph/0410095","Takuya Okabe","Takuya Okabe","Spontaneous Collapse of Unstable Quantum Superposition State: A
  Single-Particle Model of Modified Quantum Dynamics","2figs., contribution to Xth ICQO 2004","Optics and Spectroscopy, Vol.99. No. 3, 2005, pp.433-437.","10.1134/1.2055939",,"quant-ph",,"  We propose a modified dynamics of quantum mechanics, in which classical
mechanics of a point mass derives intrinsically in a massive limit of a
single-particle model. On the premise that a position basis plays a special
role in wavefunction collapse, we deduce to formalize spontaneous localization
of wavefunction on the analogy drawn from thermodynamics, in which a
characteristic energy scale and a time scale are introduced to separate quantum
and classical regimes.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 05:41:17 GMT""}]","2009-11-10"
"quant-ph/0410096","Xiong-Jun Liu","Xiong-Jun Liu, Hui Jing, Xin Liu and Mo-Lin Ge","Generation of Two-Flavor Vortex Atom Laser from a Five-State Medium","5 pages, 1 figure; The previous version (v2) is a wrong one; this is
  the published version","Eur. Phys. J. D 37, 261-265 (2006)","10.1140/epjd/e2005-00260-0",,"quant-ph",,"  Two-flavor atom laser in a vortex state is obtained and analyzed via
electromagnetically induced transparency (EIT) technique in a five-level $M$
type system by using two probe lights with $\pm z$-directional orbital angular
momentum $\pm l\hbar$, respectively. Together with the original transfer
technique of quantum states from light to matter waves, the present result can
be extended to generate continuous two-flavor vortex atom laser with
non-classical atoms.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 06:31:39 GMT""},{""version"":""v2"",""created"":""Tue, 11 Oct 2005 10:47:50 GMT""},{""version"":""v3"",""created"":""Wed, 14 Feb 2007 13:53:46 GMT""}]","2009-11-10"
"quant-ph/0410097","Ramon Munoz Tapia","A Acin, E. Bagan, M. Baig, Ll. Masanes and R. Munoz-Tapia","Multiple copy 2-state discrimination with individual measurements","5 pages, RevTeX","Phys. Rev. A 71 032338 (2005)","10.1103/PhysRevA.71.032338",,"quant-ph",,"  We address the problem of non-orthogonal two-state discrimination when
multiple copies of the unknown state are available. We give the optimal
strategy when only fixed individual measurements are allowed and show that its
error probability saturates the collective (lower) bound asymptotically. We
also give the optimal strategy when adaptivity of individual von Neumann
measurements is allowed (which requires classical communication), and show that
the corresponding error probability is exactly equal to the collective one for
any number of copies. We show that this strategy can be regarded as Bayesian
updating.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 15:26:47 GMT""},{""version"":""v2"",""created"":""Fri, 5 Nov 2004 14:29:06 GMT""}]","2009-11-10"
"quant-ph/0410098","N. D. Hari Dass","Anirban Das (IIT, Kharagpur) and N.D. Hari Dass (IMSc, Chennai)","An alternate model for protective measurements of two-level systems","6 pages in REVTEX",,,,"quant-ph",,"  In this article we propose an alternate model for the so called {\it
protective measurements}, more appropriately {\it adiabatic measurements} of a
spin 1/2 system where the {\it apparatus} is also a quantum system with a {\em
finite dimensional Hilbert space}. This circumvents several technical as well
as conceptual issues that arise when dealing with an infinite dimensional
Hilbert space as in the analysis of conventional Stern-Gerlach experiment. Here
also it is demonstrated that the response of the detector is continuous and it
{\it directly} measures {\em expectation values without altering the state of
the system}(when the unknown original state is a {\it nondegenerate eigenstate
of the system Hamiltonian}, in the limit of {\em ideal} adiabatic conditions.
We have also computed the corrections arising out of the inevitable departures
from ideal adiabaticity i.e the time of measurement being large but finite. To
overcome the {\em conceptual} difficulties with a {\it quantum apparatus}, we
have simulated a {\it classical apparatus} as a {\em large} assembly of
spin-1/2 systems. We end this article with a conclusion and a discussion of
some future issues.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 13:26:51 GMT""}]","2007-05-23"
"quant-ph/0410099","Cyril Petitjean","Cyril Petitjean, Philippe Jacquod","Mesoscopic Fluctuations of the Loschmidt Echo","Final, extended version; to appear in Physical Review E","Phys. Rev. E 71, 036223 (2005)","10.1103/PhysRevE.71.036223",,"quant-ph cond-mat.mes-hall nlin.CD",,"  We investigate the time-dependent variance of the fidelity with which an
initial narrow wavepacket is reconstructed after its dynamics is time-reversed
with a perturbed Hamiltonian. In the semiclassical regime of perturbation, we
show that the variance first rises algebraically up to a critical time $t_c$,
after which it decays. To leading order in the effective Planck's constant
$\hbar_{\rm eff}$, this decay is given by the sum of a classical term $\simeq
\exp[-2 \lambda t]$, a quantum term $\simeq 2 \hbar_{\rm eff} \exp[-\Gamma t]$
and a mixed term $\simeq 2 \exp[-(\Gamma+\lambda)t]$. Compared to the behavior
of the average fidelity, this allows for the extraction of the classical
Lyapunov exponent $\lambda$ in a larger parameter range. Our results are
confirmed by numerical simulations.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 14:50:57 GMT""},{""version"":""v2"",""created"":""Thu, 17 Mar 2005 10:17:11 GMT""}]","2009-11-10"
"quant-ph/0410100","Peter van Loock","Samuel L. Braunstein and Peter van Loock","Quantum information with continuous variables","accepted for publication in Reviews of Modern Physics",,"10.1103/RevModPhys.77.513",,"quant-ph",,"  Quantum information is a rapidly advancing area of interdisciplinary
research. It may lead to real-world applications for communication and
computation unavailable without the exploitation of quantum properties such as
nonorthogonality or entanglement. We review the progress in quantum information
based on continuous quantum variables, with emphasis on quantum optical
implementations in terms of the quadrature amplitudes of the electromagnetic
field.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 14:49:09 GMT""}]","2009-11-10"
"quant-ph/0410101","Serge Reynaud","Paulo A. Maia Neto, Astrid Lambrecht, Serge Reynaud","Roughness correction to the Casimir force : Beyond the Proximity Force
  Approximation","7 pages, 3 figures, v2 with minor changes","Europhys. Lett., 69 (6), pp. 924-930 (2005)","10.1209/epl/i2004-10433-9",,"quant-ph",,"  We calculate the roughness correction to the Casimir effect in the parallel
plates geometry for metallic plates described by the plasma model. The
calculation is perturbative in the roughness amplitude with arbitrary values
for the plasma wavelength, the plate separation and the roughness correlation
length. The correction is found to be always larger than the result obtained in
the Proximity Force Approximation.
","[{""version"":""v1"",""created"":""Wed, 13 Oct 2004 15:15:10 GMT""},{""version"":""v2"",""created"":""Tue, 23 Nov 2004 14:05:34 GMT""}]","2007-05-23"
